Feature,Coefficient,Importance
NPHI_RHOB_product,2.4110095236288007,2.4110095236288007
RHOB,-1.1931950675885334,1.1931950675885334
NPHI,-0.9430434043352046,0.9430434043352046
NPHI_minus_DRHO,-0.9425714605667675,0.9425714605667675
log10_ILD,0.7091468114870884,0.7091468114870884
GR,0.22131292930761023,0.22131292930761023
GR_DT_product,-0.20447888548756396,0.20447888548756396
DT,0.11658175493479547,0.11658175493479547
ILD_roll15_mean,-0.07270627397982428,0.07270627397982428
ILD_to_SFLU,0.06700478031775556,0.06700478031775556
log10_SFLU,0.05876026126703613,0.05876026126703613
ILD,-0.05367754110428529,0.05367754110428529
ILD_to_MSFL,0.03697671841221385,0.03697671841221385
DT_roll5_mean,0.035490943343528196,0.035490943343528196
NPHI_roll5_mean,-0.034492602990558265,0.034492602990558265
ILD_roll15_std,0.03386224473061043,0.03386224473061043
log10_MSFL,0.03323001502540388,0.03323001502540388
ILD_roll5_mean,0.026511402899000665,0.026511402899000665
DT_roll15_mean,-0.01572990841921306,0.01572990841921306
SP,-0.014911257008402998,0.014911257008402998
CALI,-0.011195319689394467,0.011195319689394467
PEF,-0.010220786071871987,0.010220786071871987
RHOB_roll15_mean,0.008848910642313162,0.008848910642313162
NPHI_roll15_mean,0.008826605139088763,0.008826605139088763
SFLU,-0.008672938396790224,0.008672938396790224
DRHO,0.007786613274207767,0.007786613274207767
DEPT_normalized,-0.007739895298624702,0.007739895298624702
DEPT,-0.007739895296612216,0.007739895296612216
NPHI_roll15_std,-0.0076306107082422326,0.0076306107082422326
GR_roll5_mean,0.007421876101510307,0.007421876101510307
RHOB_roll5_mean,0.007059145149090211,0.007059145149090211
MSFL_to_SFLU,-0.006688080498754212,0.006688080498754212
MSFL,-0.0034238696132421987,0.0034238696132421987
DT_roll15_std,-0.003249267172922989,0.003249267172922989
RHOB_roll15_std,0.0031581037826780866,0.0031581037826780866
GR_roll15_mean,0.0030425597523006027,0.0030425597523006027
GR_roll15_std,-0.002535952867615562,0.002535952867615562
