Feature,Coefficient,Importance
NPHI_RHOB_product,0.03033890435190537,0.03033890435190537
RHOB,-0.027992139899451814,0.027992139899451814
GR,0.0066183169658560895,0.0066183169658560895
GR_DT_product,-0.005817332828322678,0.005817332828322678
NPHI_minus_DRHO,-0.0050315000017965,0.0050315000017965
NPHI,-0.005029999038513907,0.005029999038513907
DT,0.0032599177581711792,0.0032599177581711792
ILD_roll15_mean,-0.0020452054929352317,0.0020452054929352317
log10_ILD,-0.001539898211678823,0.001539898211678823
log10_MSFL,0.001439061010328232,0.001439061010328232
ILD_roll15_std,0.001221930830581564,0.001221930830581564
MSFL_to_SFLU,-0.001144102593918908,0.001144102593918908
ILD_to_SFLU,0.0010527858660147368,0.0010527858660147368
ILD_roll5_mean,0.001015260189784946,0.001015260189784946
RHOB_roll5_mean,-0.0010093649805316199,0.0010093649805316199
ILD_to_MSFL,0.0009549308032046157,0.0009549308032046157
ILD,-0.0008881868555385592,0.0008881868555385592
RHOB_roll15_mean,0.0007704215498214789,0.0007704215498214789
GR_roll15_mean,0.0007362330129680047,0.0007362330129680047
DRHO,0.0007083260002143071,0.0007083260002143071
MSFL,0.000583213871768433,0.000583213871768433
SP,-0.0005828628519058805,0.0005828628519058805
DT_roll15_mean,0.0004826156032738456,0.0004826156032738456
CALI,-0.00043691798199811546,0.00043691798199811546
DEPT_normalized,-0.00040620440331139276,0.00040620440331139276
DEPT,-0.00040620440330831607,0.00040620440330831607
PEF,-0.0003893604648642175,0.0003893604648642175
GR_roll15_std,-0.00033841543871850397,0.00033841543871850397
NPHI_roll15_std,0.0003375708254266188,0.0003375708254266188
GR_roll5_mean,-0.00032725575752956575,0.00032725575752956575
log10_SFLU,0.0002943217921687289,0.0002943217921687289
RHOB_roll15_std,0.00024773480479031273,0.00024773480479031273
NPHI_roll5_mean,-0.0002218346755138917,0.0002218346755138917
SFLU,0.0001375059039832873,0.0001375059039832873
DT_roll5_mean,0.0001313692191498231,0.0001313692191498231
DT_roll15_std,-9.278232328369053e-05,9.278232328369053e-05
NPHI_roll15_mean,-8.036666207986502e-05,8.036666207986502e-05
