Feature,TargetCorrelation,AbsCorrelation,Selected,Target,SelectionStage
RHOB,-0.7917498505426036,0.7917498505426036,True,Porosity,validation_train_only
RHOB_roll5_mean,-0.7799979803567341,0.7799979803567341,False,Porosity,validation_train_only
RHOB_roll15_mean,-0.7418091092741621,0.7418091092741621,False,Porosity,validation_train_only
NPHI_minus_DRHO,0.7311079613393938,0.7311079613393938,True,Porosity,validation_train_only
NPHI,0.729238987423225,0.729238987423225,False,Porosity,validation_train_only
NPHI_roll5_mean,0.7114612637409116,0.7114612637409116,False,Porosity,validation_train_only
NPHI_roll15_mean,0.6432431643893705,0.6432431643893705,False,Porosity,validation_train_only
DT,0.5955614674385685,0.5955614674385685,True,Porosity,validation_train_only
PEF,-0.5929819159057992,0.5929819159057992,True,Porosity,validation_train_only
DT_roll5_mean,0.5886823177904501,0.5886823177904501,False,Porosity,validation_train_only
SP,-0.567498184065418,0.567498184065418,True,Porosity,validation_train_only
NPHI_RHOB_product,0.5576113122796318,0.5576113122796318,False,Porosity,validation_train_only
DT_roll15_mean,0.5540135115459203,0.5540135115459203,False,Porosity,validation_train_only
DEPT,-0.5497942336040699,0.5497942336040699,True,Porosity,validation_train_only
DEPT_normalized,-0.5497942336040696,0.5497942336040696,False,Porosity,validation_train_only
DRHO,-0.3925953512705716,0.3925953512705716,True,Porosity,validation_train_only
CALI,-0.37375503406170807,0.37375503406170807,True,Porosity,validation_train_only
GR_roll15_mean,-0.36150756912495957,0.36150756912495957,True,Porosity,validation_train_only
GR_roll5_mean,-0.3350065208694492,0.3350065208694492,False,Porosity,validation_train_only
log10_MSFL,0.3293022515614571,0.3293022515614571,True,Porosity,validation_train_only
GR,-0.3183889408215225,0.3183889408215225,False,Porosity,validation_train_only
DT_roll15_std,-0.2833160383597444,0.2833160383597444,True,Porosity,validation_train_only
RHOB_roll15_std,-0.27081354593390583,0.27081354593390583,True,Porosity,validation_train_only
log10_SFLU,0.2654133042002747,0.2654133042002747,True,Porosity,validation_train_only
MSFL,0.2525440367455844,0.2525440367455844,False,Porosity,validation_train_only
log10_ILD,0.22954433529943083,0.22954433529943083,False,Porosity,validation_train_only
SFLU,0.14311826748044099,0.14311826748044099,False,Porosity,validation_train_only
ILD_roll15_mean,0.10748719620647855,0.10748719620647855,False,Porosity,validation_train_only
ILD_roll5_mean,0.10077509193005696,0.10077509193005696,False,Porosity,validation_train_only
ILD,0.09880978302320456,0.09880978302320456,False,Porosity,validation_train_only
GR_roll15_std,0.08156939501627876,0.08156939501627876,False,Porosity,validation_train_only
NPHI_roll15_std,0.06952867944846888,0.06952867944846888,False,Porosity,validation_train_only
GR_DT_product,-0.06227568489912831,0.06227568489912831,False,Porosity,validation_train_only
ILD_to_SFLU,0.04405374861977793,0.04405374861977793,False,Porosity,validation_train_only
ILD_to_MSFL,0.008071877267986442,0.008071877267986442,False,Porosity,validation_train_only
ILD_roll15_std,0.004086592533005281,0.004086592533005281,False,Porosity,validation_train_only
MSFL_to_SFLU,-0.003208409721358016,0.003208409721358016,False,Porosity,validation_train_only
RHOB,-0.7942037395165041,0.7942037395165041,True,Porosity,test_train_validation
RHOB_roll5_mean,-0.783216916111238,0.783216916111238,False,Porosity,test_train_validation
RHOB_roll15_mean,-0.7508603988009775,0.7508603988009775,False,Porosity,test_train_validation
NPHI_minus_DRHO,0.7048085603812757,0.7048085603812757,True,Porosity,test_train_validation
NPHI,0.7022816140574968,0.7022816140574968,False,Porosity,test_train_validation
NPHI_roll5_mean,0.685201253834267,0.685201253834267,False,Porosity,test_train_validation
DT,0.6669084807335831,0.6669084807335831,True,Porosity,test_train_validation
DT_roll5_mean,0.6634138835072775,0.6634138835072775,False,Porosity,test_train_validation
DEPT,-0.6448501011408507,0.6448501011408507,True,Porosity,test_train_validation
DEPT_normalized,-0.6448501011408504,0.6448501011408504,False,Porosity,test_train_validation
DT_roll15_mean,0.6362670170156506,0.6362670170156506,False,Porosity,test_train_validation
NPHI_roll15_mean,0.6235920959281296,0.6235920959281296,False,Porosity,test_train_validation
PEF,-0.6196641493120839,0.6196641493120839,True,Porosity,test_train_validation
SP,-0.5656078092035272,0.5656078092035272,True,Porosity,test_train_validation
NPHI_RHOB_product,0.5062626815555235,0.5062626815555235,False,Porosity,test_train_validation
GR_roll15_mean,-0.4546976023409346,0.4546976023409346,True,Porosity,test_train_validation
GR_roll5_mean,-0.43083870510428457,0.43083870510428457,False,Porosity,test_train_validation
DRHO,-0.4216342669106237,0.4216342669106237,True,Porosity,test_train_validation
CALI,-0.4166371332652422,0.4166371332652422,True,Porosity,test_train_validation
GR,-0.4151532558077348,0.4151532558077348,False,Porosity,test_train_validation
log10_MSFL,0.34167181171160615,0.34167181171160615,True,Porosity,test_train_validation
log10_SFLU,0.29089185529836414,0.29089185529836414,True,Porosity,test_train_validation
log10_ILD,0.2703410262831811,0.2703410262831811,True,Porosity,test_train_validation
MSFL,0.25642520645901945,0.25642520645901945,False,Porosity,test_train_validation
RHOB_roll15_std,-0.24790442475267582,0.24790442475267582,True,Porosity,test_train_validation
DT_roll15_std,-0.23819032861623168,0.23819032861623168,True,Porosity,test_train_validation
SFLU,0.18002217717107113,0.18002217717107113,False,Porosity,test_train_validation
