DEPT,DEPT,GR,CALI,SP,ILD,SFLU,MSFL,DT,RHOB,DRHO,PEF,NPHI,log10_ILD,log10_SFLU,log10_MSFL,ILD_to_SFLU,MSFL_to_SFLU,ILD_to_MSFL,NPHI_RHOB_product,NPHI_minus_DRHO,GR_DT_product,DEPT_normalized,GR_roll5_mean,GR_roll15_mean,GR_roll15_std,ILD_roll5_mean,ILD_roll15_mean,ILD_roll15_std,RHOB_roll5_mean,RHOB_roll15_mean,RHOB_roll15_std,NPHI_roll5_mean,NPHI_roll15_mean,NPHI_roll15_std,DT_roll5_mean,DT_roll15_mean,DT_roll15_std,Porosity,Permeability k,Water Saturation Sw
7800.0,7800.0,68.0,15.14,-82.6667,11.795,11.4033,11.4735,85.8,2.4613,-0.0037,3.5333,25.44,1.0716979452216142,1.057030549967836,1.0596959199779736,1.0343497057869213,1.0061561127042171,1.0280210920817536,62.615472000000004,25.4437,5834.4,0.0,65.72223333333334,66.2875,2.461643695350151,11.480466666666667,11.1212625,0.3440364803642606,2.451166666666667,2.4449625,0.008143347416318161,25.53333333333333,25.4883375,0.8420998226160611,85.62963333333333,84.8638875,0.8119580222039937,0.20897561897662387,70.16873241329498,0.5213380521330363
7800.5,7800.5,65.7667,14.98,-82.8667,11.4855,11.0136,10.368,85.5556,2.452,-0.0088,3.4089,24.84,1.0601499061496196,1.0419292994062654,1.015694988526518,1.0428470254957507,0.9413815646110264,1.1077835648148149,60.90768,24.8488,5626.70947852,0.00013466199838405601,65.025,66.31481111111111,2.304114047440168,11.33565,11.100533333333333,0.3277701137992902,2.4481,2.444111111111111,0.00803421502768687,25.44,25.438522222222222,0.8017634653964013,85.51667499999999,84.60493333333334,1.0864537242791286,0.20734096086118226,65.1827248396789,0.5324808063625416
7801.0,7801.0,63.4,14.6067,-82.9111,11.1609,10.3366,10.5934,85.5333,2.4402,-0.0107,3.3956,26.32,1.0476992169379284,1.0143777105122953,1.0250353712738842,1.0797457577926977,1.0248437590697135,1.0535710914342893,64.226064,26.3307,5422.81122,0.00026932399676811203,65.72,66.36666,2.178518354906992,11.24208,11.0806,0.3153880114680605,2.4456800000000003,2.4435700000000002,0.00776560078522931,25.672000000000004,25.18667,1.0980414888437617,85.3689,84.42888,1.165837010525528,0.2187889467824658,87.44267748840132,0.5119045994722301
7801.5,7801.5,62.9333,14.7267,-83.2222,10.9012,10.1997,10.9908,85.1778,2.4389,-0.007,3.1467,25.16,1.0374743075454904,1.0085873982069555,1.0410293050659492,1.068776532643117,1.0775611047383746,0.9918477271900134,61.36272399999999,25.167,5360.520040740001,0.00040398599515216807,65.6,66.57878181818181,2.183185819768067,11.054419999999999,11.0492,0.3168094032695361,2.44196,2.4429636363636362,0.007636658002984278,25.688,25.021818181818183,1.1764620442820781,85.1289,84.45655454545455,1.1098121583075504,0.2121461770973114,70.98352014251711,0.5341849571220297
7802.0,7802.0,68.5,14.5133,-83.6222,10.8678,9.9319,10.7242,84.7778,2.436,-0.0053,3.2178,26.6,1.0361416375029744,0.997032338181477,1.0303649047221104,1.094231717999577,1.0797732558724915,1.0133902761977585,64.7976,26.6053,5807.2793,0.0005386479935362241,66.36666,66.54444166666667,2.0849823131834673,10.946499999999999,11.022116666666667,0.316300331484128,2.44022,2.4440666666666666,0.008222953830404759,25.92534,24.73,1.5100110107967015,84.72444,84.40925,1.0707775131778134,0.22138132894831644,91.38176518767744,0.5126868861515076
7802.5,7802.5,67.4,14.8244,-83.8445,10.8567,9.681,10.8456,84.6,2.4427,-0.0001,3.2667,25.52,1.0356978372618983,0.9859202201235674,1.0352535830428078,1.1214440656956928,1.1202974899287264,1.0010234565169287,62.337703999999995,25.5201,5702.04,0.00067330999192028,66.62666,66.37692307692308,2.0855936457652557,10.90574,10.99246923076923,0.3211469403679441,2.4412399999999996,2.446469230769231,0.011705652809318476,25.46134,24.532307692307693,1.611890622561769,84.40444,84.34016153846154,1.0550209686213625,0.21344698211154384,73.33476661807964,0.5320164738955078
7803.0,7803.0,69.6,15.9111,-83.9778,10.9459,9.4848,10.8901,83.5333,2.4433,0.0,3.5467,26.0267,1.0392514761793556,0.9770281776271965,1.037031867749236,1.1540464743589745,1.1481633771929824,1.0051239198905428,63.59103611,26.0267,5813.91768,0.0008079719903043361,67.34666,66.22380714285714,2.084066057370426,10.91244,10.961635714285714,0.32941121508894183,2.4409199999999998,2.4495642857142856,0.016142900661226856,25.43734,24.437142857142856,1.5890624108933826,83.87553999999999,84.23491428571428,1.0874402567901842,0.21635473371604694,80.19030236019424,0.522723323011498
7803.5,7803.5,64.7,16.7511,-84.5333,10.9571,9.6811,10.7242,83.9333,2.4453,0.0003,3.5067,24.0,1.0396956252567662,0.9859247061502061,1.0303649047221104,1.131803204181343,1.1077460205968328,1.0217172376494286,58.687200000000004,23.9997,5430.48451,0.0009426339886883921,67.01332,66.19777333333333,2.0107858582677367,10.91912,10.933473333333332,0.3356452069557681,2.4414599999999997,2.453193333333333,0.02096495261371311,24.701340000000002,24.421333333333333,1.532482559055576,83.48886,84.17925333333332,1.0698281503298017,0.20384683128432973,56.15538111278415,0.5545136487468291
7804.0,7804.0,66.5333,15.9844,-84.0667,10.9347,10.3793,11.1046,82.5333,2.4373,0.0003,3.5422,25.04,1.0388068724096116,1.0161680648430285,1.045502919397642,1.0535103523358993,1.0698794716406692,0.9847000342200529,61.029992,25.0397,5491.21280889,0.0010772959870724481,67.27332,66.10444,1.95281363707417,10.894820000000001,10.832013333333334,0.2824207394920514,2.4402999999999997,2.456393333333333,0.025469939330980136,24.272000000000002,24.35022,1.5063628841873216,83.51552,83.98814,1.014226205960551,0.21179532867044026,70.49804920812787,0.5342495985539123
7804.5,7804.5,66.8333,15.5578,-84.4,10.9012,11.1388,12.8933,82.8444,2.4387,0.002,3.5467,22.92,1.0374743075454904,1.0468384061474405,1.1103640879016343,0.9786691564620964,1.1575124789025748,0.845493395794715,55.895004,22.918000000000003,5536.764638519999,0.0012119579854565042,66.58666000000001,66.25110666666666,2.007486216806149,10.850480000000001,10.737306666666667,0.2857994288374419,2.4428799999999997,2.4607466666666666,0.02986648543737534,23.37066,24.288886666666667,1.503723618159111,83.58664,83.90813333333332,0.925170782432443,0.19909809324257374,48.500797166055634,0.569193278904276
